n_train_groups,test_auroc_mean,test_auroc_std,n_replicates,test_auroc_min,test_auroc_max
500,0.7623725967642774,0.01781626138103571,5,0.7354167291930139,0.7781820549173925
2000,0.8771800818105211,0.006735340332918415,5,0.8660960160278317,0.8833821323392377
8000,0.9167557820621781,0.0014700045511656166,5,0.915517140366273,0.9192093249113414
20000,0.9299834876528511,0.0006802324715187523,5,0.929358541680108,0.9310842688622744
31000,0.9358880176035853,0.00035232256334988336,5,0.9354830984768852,0.9364310128765037
